UNIQUE_ID,RES,TILEH,TILEV,COL,ROW,LAT,LON,ISO3,PERC_TREE_COVER,ADM_REGION,ECO_REGION,MATT_HANSEN_DEFOR,PROBABILITY,DATE
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,12/19/2006
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,1/1/2007
500_0021_0008_1494_2334,500,21,8,1494,2334,0.272916666666665,36.227494314889164,KEN,30,18974,30108,0,65,1/17/2007
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,12/19/2005
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,1/1/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,1/17/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,2/2/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,2/18/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,3/6/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,3/22/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,4/7/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,4/23/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,5/9/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,5/25/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,6/10/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,6/26/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,7/12/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,7/28/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,8/13/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,8/29/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,9/14/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,9/30/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,10/16/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,11/1/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,11/17/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,12/3/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,12/19/2006
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,1/1/2007
500_0021_0008_1494_2335,500,21,8,1494,2335,0.268749999999995,36.22748186151417,KEN,42,18974,30108,0,65,1/17/2007
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,12/19/2005
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,1/1/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,1/17/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,2/2/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,2/18/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,3/6/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,3/22/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,4/7/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,4/23/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,5/9/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,5/25/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,6/10/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,6/26/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,7/12/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,7/28/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,8/13/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,8/29/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,9/14/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,9/30/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,10/16/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,11/1/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,11/17/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,12/3/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,12/19/2006
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,1/1/2007
500_0021_0008_1494_2319,500,21,8,1494,2319,0.33541666666666425,36.22770410743265,KEN,38,18974,30108,0,91,1/17/2007
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,12/19/2005
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,1/1/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,1/17/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,2/2/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,2/18/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,3/6/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,3/22/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,4/7/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,4/23/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,5/9/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,5/25/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,6/10/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,6/26/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,7/12/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,7/28/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,8/13/2006
500_0021_0008_1493_2335,500,21,8,1493,2335,0.268749999999995,36.22331514901069,KEN,43,18974,30108,0,76,8/29/2006
